,LEA_STATE_NAME,LEA_STATE,LEA_NAME,SCH_NAME,SCH_ENR_HI_M,SCH_ENR_HI_F,SCH_ENR_HI,VAL_HI,Score_HI,SCH_ENR_AM_M,SCH_ENR_AM_F,SCH_ENR_AM,VAL_AM,Score_AM,SCH_ENR_AS_M,SCH_ENR_AS_F,SCH_ENR_HP_M,SCH_ENR_HP_F,SCH_ENR_BL_M,SCH_ENR_BL_F,SCH_ENR_WH_M,SCH_ENR_WH_F,SCH_ENR_TR_M,SCH_ENR_TR_F,TOT_ENR_M,TOT_ENR_F,SCH_APENR_IND,SCH_APCOURSES,TOT_APENR_M,TOT_APENR_F,TOT_SATACT_M,TOT_SATACT_F,TOT_HBREPORTED_SEX_M,TOT_HBREPORTED_SEX_F,TOT_HBREPORTED_DIS_M,TOT_HBREPORTED_DIS_F,TOT_HBREPORTED_RAC_M,TOT_HBREPORTED_RAC_F,TOT_HBDISCIPLINED_SEX_M,TOT_HBDISCIPLINED_SEX_F,TOT_HBDISCIPLINED_RAC_M,TOT_HBDISCIPLINED_RAC_F,TOT_HBDISCIPLINED_DIS_M,TOT_HBDISCIPLINED_DIS_F,TOT_DISCWODIS_ISS_M,TOT_DISCWODIS_ISS_F,TOT_DISCWDIS_ISS_IDEA_M,TOT_DISCWDIS_ISS_IDEA_F,TOT_DISCWODIS_ARR_M,TOT_DISCWODIS_ARR_F,TOT_DISCWDIS_ARR_IDEA_M,TOT_DISCWDIS_ARR_IDEA_F,TOT_DISCWODIS_EXPWE_M,TOT_DISCWODIS_EXPWE_F,TOT_DISCWODIS_EXPWOE_M,TOT_DISCWODIS_EXPWOE_F,TOT_DISCWDIS_EXPWOE_IDEA_M,TOT_DISCWDIS_EXPWOE_IDEA_F,TOT_DISCWDIS_EXPZT_IDEA_M,TOT_DISCWDIS_EXPZT_IDEA_F,TOT_SATACT,TOT_ENR,AVG_ENR,VAL_SAT
74890,RHODE ISLAND,RI,East Greenwich,Meadowbrook Farms School,8,8,,,,2,0,,,,8,8,0,0,2,5,125,98,2,8,147,127,-9,-9,-9,-9,-9,-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-18,,,
74891,RHODE ISLAND,RI,East Greenwich,George Hanaford School,14,8,,,,0,0,,,,8,14,0,0,2,0,122,77,5,2,151,101,-9,-9,-9,-9,-9,-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-18,,,
74892,RHODE ISLAND,RI,East Providence,Agnes B. Hennessey School,11,8,,,,5,2,,,,2,2,0,0,17,14,119,83,11,23,165,132,-9,-9,-9,-9,-9,-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-18,,,
74893,RHODE ISLAND,RI,East Providence,Waddington School,14,5,,,,2,2,,,,5,2,0,0,14,11,236,188,17,8,288,216,-9,-9,-9,-9,-9,-9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-18,,,
74894,RHODE ISLAND,RI,East Providence,James R. D. Oldham School,5,8,,,,0,0,,,,2,2,0,0,11,8,53,65,8,11,79,94,-9,-9,-9,-9,-9,-9,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-18,,,
74895,RHODE ISLAND,RI,East Providence,East Providence High,32,26,58,0.103826187,5,8,8,16,0.132089983,5,14,14,2,2,104,89,569,557,26,35,755,731,Yes,9,64,106,44,73,0,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,1486,212.2857143,0.078734859
74896,RHODE ISLAND,RI,East Providence,Kent Heights School,14,11,,,,2,2,,,,5,5,0,0,20,23,89,89,14,14,144,144,-9,-9,-9,-9,-9,-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-18,,,
74897,RHODE ISLAND,RI,East Providence,Orlo Avenue School,11,8,,,,2,0,,,,2,2,0,0,29,26,89,92,17,20,150,148,-9,-9,-9,-9,-9,-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-18,,,
74898,RHODE ISLAND,RI,East Providence,Riverside Middle School,8,5,,,,2,0,,,,2,2,0,0,20,20,167,185,11,11,210,223,-9,-9,-9,-9,-9,-9,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-18,,,
74899,RHODE ISLAND,RI,East Providence,Silver Spring School,14,8,,,,0,0,,,,8,8,0,0,23,17,92,77,20,17,157,127,-9,-9,-9,-9,-9,-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-18,,,
