,Unnamed: 0,LEA_STATE_NAME,LEA_STATE,LEA_NAME,SCH_NAME,SCH_APENR_IND,SCH_APCOURSES,TOT_APENR_M,TOT_APENR_F,TOT_SATACT_M,TOT_SATACT_F,TOT_HBREPORTED_SEX_F,TOT_HBDISCIPLINED_SEX_M,TOT_HBDISCIPLINED_SEX_F,TOT_HBDISCIPLINED_RAC_M,TOT_HBDISCIPLINED_RAC_F,TOT_HBDISCIPLINED_DIS_M,TOT_HBDISCIPLINED_DIS_F,TOT_DISCWODIS_ISS_M,TOT_DISCWODIS_ISS_F,TOT_DISCWDIS_ISS_IDEA_M,TOT_DISCWDIS_ISS_IDEA_F,TOT_DISCWODIS_ARR_M,TOT_DISCWODIS_ARR_F,TOT_DISCWDIS_ARR_IDEA_M,TOT_DISCWDIS_ARR_IDEA_F,TOT_DISCWODIS_EXPWE_M,TOT_DISCWODIS_EXPWE_F,TOT_DISCWODIS_EXPWOE_M,TOT_DISCWODIS_EXPWOE_F,TOT_DISCWDIS_EXPWOE_IDEA_M,TOT_DISCWDIS_EXPWOE_IDEA_F,TOT_DISCWDIS_EXPZT_IDEA_M,TOT_DISCWDIS_EXPZT_IDEA_F,TOT_ENR,AVG_ENR,TOT_SATACT,VAL_SAT,VAL_WH,VAL_BL,VAL_HP,VAL_TR,VAL_HI,VAL_AS,VAL_AM,VAL_RACE,RACE_SCORE,VAL_GENDER,GENDER_SCORE,VAL_AP_COURSES,AP_SCORE,VAL_SATACT_COURSES,SATACT_SCORE,COURSES_SCORE,TOT_ARR,TOT_EXP,TOT_HARR,TOT_SUSP,VAL_OFFENSES,OFFENSES_SCORE,SCHOOL_SCORE,Race,Value,Gender,GenderValue
20,75727,SOUTH CAROLINA,SC,Horry 01,South Conway Elementary,0,0,0,0,0,0,0,0,0,0,0,0,0,21,4,7,2,0,0,0,0,0,0,0,0,0,0,0,0,623,89.0,0,0.0,0.30658105939004815,0.2680577849117175,0.14285714285714285,0.09791332263242375,0.05457463884430177,0.13964686998394862,0.13964686998394862,0.1641825269433616,5,0.056179775280898875,5,0.0,5,0.0,5,5,0,0,0,25,2.5,1,4,SCH_ENR_AS,2,TOT_ENR_M,329
21,49156,MISSOURI,MO,JOPLIN SCHOOLS,EAST MIDDLE,0,0,0,0,0,0,0,0,0,0,0,0,0,69,34,28,7,2,0,0,0,0,0,0,0,0,0,0,0,535,76.42857142857143,0,0.0,0.5991989319092123,0.09052069425901202,0.12416555407209613,0.084913217623498,0.04005340453938585,0.12416555407209613,0.13538050734312418,0.17119969483120354,5,0.016822429906542057,5,0.0,5,0.0,5,5,2,0,0,103,11.100000000000001,1,4,SCH_ENR_AS,10,TOT_ENR_M,272
22,85939,TEXAS,TX,RIO HONDO ISD,RIO HONDO EL,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,559,79.85714285714286,0,0.0,0.08740097112190136,0.13927932532583695,0.14285714285714288,0.14285714285714288,0.7981088678763096,0.14285714285714288,0.14285714285714288,0.22803110510751703,4,0.07334525939177101,5,0.0,5,0.0,5,5,0,0,0,10,1.0,1,3,SCH_ENR_AS,0,TOT_ENR_M,259
23,91429,WASHINGTON,WA,Ferndale School District,Skyline Elementary School,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,438,62.57142857142857,0,0.0,0.42791911285061973,0.13372472276581865,0.14285714285714285,0.0720808871493803,0.003261578604044362,0.1268754076973255,0.044357469015003266,0.1358680458484764,5,0.0136986301369863,5,0.0,5,0.0,5,5,0,0,0,6,0.6000000000000001,2,4,SCH_ENR_AS,7,TOT_ENR_M,222
24,50791,MONTANA,MT,Creston Elem,Creston School,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,12.0,0,0.0,0.8333333333333334,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.11904761904761904,0.14285714285714285,0.14285714285714285,0.23809523809523808,4,0.023809523809523808,5,0.0,5,0.0,5,5,0,0,0,2,0.2,5,4,SCH_ENR_AS,0,TOT_ENR_M,43
25,37533,MAINE,ME,Bangor Public Schools,Mary Snow School,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,279,39.857142857142854,0,0.0,0.710189452124936,0.11776753712237582,0.13568868407578083,0.08550947260624679,0.12852022529441884,0.12493599590373783,0.11776753712237582,0.202911272035696,4,0.017921146953405017,5,0.0,5,0.0,5,5,0,0,0,0,0.0,1,3,SCH_ENR_AS,5,TOT_ENR_M,137
26,81334,TEXAS,TX,D'HANIS ISD,D'HANIS SCHOOL,Yes,1,2,2,0,0,0,0,0,0,0,0,0,13,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,365,52.142857142857146,0,0.0,0.29549902152641877,0.14285714285714288,0.14285714285714288,0.13189823874755383,0.4023483365949119,0.13737769080234835,0.14285714285714288,0.19938495946323734,5,0.0136986301369863,5,0.010958904109589041,1,0.0,5,1,0,0,0,20,2.0,1,3,SCH_ENR_AS,2,TOT_ENR_M,180
27,58747,NEW YORK,NY,MAHOPAC CENTRAL SCHOOL DISTRICT,LAKEVIEW ELEMENTARY SCHOOL,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,605,86.42857142857143,0,0.0,0.5629279811097992,0.13624557260920897,0.14285714285714285,0.11641086186540732,0.09681227863046045,0.12136953955135774,0.14285714285714285,0.1884972170686456,5,0.03471074380165289,5,0.0,5,0.0,5,5,0,0,0,2,0.2,5,5,SCH_ENR_AS,13,TOT_ENR_M,313
28,90737,VIRGINIA,VA,YORK CO PBLC SCHS,YORK RIVER ACADEMY,Yes,1,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,11.285714285714286,0,0.0,0.705244122965642,0.09222423146473781,0.14285714285714288,0.11754068716094034,0.09222423146473781,0.11754068716094034,0.14285714285714288,0.20149832084732627,4,0.5443037974683544,3,0.05063291139240506,1,0.0,5,1,0,0,0,2,0.2,5,3,SCH_ENR_AS,2,TOT_ENR_M,61
29,32090,IOWA,IA,Ankeny Comm School District,Ankeny High School,Yes,20,69,112,127,142,0,0,0,0,0,0,0,18,2,9,2,0,0,0,0,0,0,0,0,0,0,0,0,986,140.85714285714286,269,0.27281947261663286,0.7526803824978266,0.11750217328310635,0.14082874529121994,0.12967255867864388,0.10533178788756882,0.12054476963199073,0.138800347725297,0.2150515378565219,4,0.004056795131845842,5,0.18356997971602435,1,0.27281947261663286,2,1,0,0,0,20,2.0,1,2,SCH_ENR_AS,22,TOT_ENR_M,491
